long_url,short_url
https://frconor-ebook.github.io/meditations/homilies/fidelity-in-marriage/,https://tinyurl.com/frcmed-fid-transcript
https://frconor-ebook.github.io/meditations/homilies/fire-on-earth/,https://tinyurl.com/frcmed-foe-transcript
https://frconor-ebook.github.io/meditations/homilies/fishers-of-men/,https://tinyurl.com/frcmed-fom-transcript
https://frconor-ebook.github.io/meditations/homilies/forgiveness/,https://tinyurl.com/frcmed-forgiv-transcript
https://frconor-ebook.github.io/meditations/homilies/forming-saints-in-the-domestic-church-bethany/,https://tinyurl.com/frcmed-fsdtcdcb-transcript
https://frconor-ebook.github.io/meditations/homilies/forming-saints-in-the-domestic-church-easter/,https://tinyurl.com/frcmed-fschurcheast-transcript
https://frconor-ebook.github.io/meditations/homilies/forming-saints-in-the-domestic-church-the-cross/,https://tinyurl.com/frcmed-stx-transcript
https://frconor-ebook.github.io/meditations/homilies/fraternal-correction/,https://tinyurl.com/frcmed-fratcor-transcript
https://frconor-ebook.github.io/meditations/homilies/fraternity-in-the-work/,https://tinyurl.com/frcmed-fitw-transcript
https://frconor-ebook.github.io/meditations/homilies/freedom/,https://tinyurl.com/frcmed-free-transcript
https://frconor-ebook.github.io/meditations/homilies/friendship-and-confidence/,https://tinyurl.com/frcmed-fc-transcript
https://frconor-ebook.github.io/meditations/homilies/from-tabor-to-calvary/,https://tinyurl.com/frcmed-ftc-transcript
https://frconor-ebook.github.io/meditations/homilies/fruits-of-the-holy-spirit/,https://tinyurl.com/frcmed-fots-transcript
https://frconor-ebook.github.io/meditations/homilies/general-proofreading-guidelines/,https://tinyurl.com/frcmed-gpguidelines-transcript
https://frconor-ebook.github.io/meditations/homilies/generosity/,https://tinyurl.com/frcmed-gen-transcript
https://frconor-ebook.github.io/meditations/homilies/generosity-towards-god/,https://tinyurl.com/frcmed-gengod-transcript
https://frconor-ebook.github.io/meditations/homilies/god-has-captured-me-with-his-love/,https://tinyurl.com/frcmed-ghcmwl-transcript
https://frconor-ebook.github.io/meditations/homilies/good-anger-bad-anger/,https://tinyurl.com/frcmed-gab-transcript
https://frconor-ebook.github.io/meditations/homilies/good-friday-passion/,https://tinyurl.com/frcmed-gfp-transcript
https://frconor-ebook.github.io/meditations/homilies/gratitude-for-pope-benedict-xvi/,https://tinyurl.com/frcmed-gbxvi-transcript
https://frconor-ebook.github.io/meditations/homilies/healing-christs-wounds/,https://tinyurl.com/frcmed-hcw-transcript
https://frconor-ebook.github.io/meditations/homilies/heart-in-the-family/,https://tinyurl.com/frcmed-hitf-transcript
https://frconor-ebook.github.io/meditations/homilies/hearts-on-fire/,https://tinyurl.com/frcmed-hof-transcript
https://frconor-ebook.github.io/meditations/homilies/heaven-and-vigilance/,https://tinyurl.com/frcmed-hav-transcript
https://frconor-ebook.github.io/meditations/homilies/hell-purgatory-heaven/,https://tinyurl.com/frcmed-hph-transcript
https://frconor-ebook.github.io/meditations/homilies/helping-to-do-good/,https://tinyurl.com/frcmed-hdg-transcript
https://frconor-ebook.github.io/meditations/homilies/holy-communion-jesus-is-mine/,https://tinyurl.com/frcmed-hcjm-transcript
https://frconor-ebook.github.io/meditations/homilies/holy-purity/,https://tinyurl.com/frcmed-hp-transcript
https://frconor-ebook.github.io/meditations/homilies/holy-saturday/,https://tinyurl.com/frcmed-hsat-transcript
https://frconor-ebook.github.io/meditations/homilies/humility/,https://tinyurl.com/frcmed-hum-transcript
https://frconor-ebook.github.io/meditations/homilies/humility-lent/,https://tinyurl.com/frcmed-hl-transcript
https://frconor-ebook.github.io/meditations/homilies/humility-of-instruments/,https://tinyurl.com/frcmed-humi-transcript
https://frconor-ebook.github.io/meditations/homilies/humility-relying-on-god/,https://tinyurl.com/frcmed-hrog-transcript
https://frconor-ebook.github.io/meditations/homilies/i-thirst/,https://tinyurl.com/frcmed-ithrs-transcript
https://frconor-ebook.github.io/meditations/homilies/imagination-the-madwoman/,https://tinyurl.com/frcmed-imadwo-transcript
https://frconor-ebook.github.io/meditations/homilies/in-expectation-of-our-lord/,https://tinyurl.com/frcmed-iool-transcript
https://frconor-ebook.github.io/meditations/homilies/in-the-heart-of-joseph-and-mary/,https://tinyurl.com/frcmed-josephmary-transcript
https://frconor-ebook.github.io/meditations/homilies/increase-my-faith/,https://tinyurl.com/frcmed-imyf-transcript
https://frconor-ebook.github.io/meditations/homilies/infectious-faith/,https://tinyurl.com/frcmed-if-transcript
https://frconor-ebook.github.io/meditations/homilies/it-is-right-and-just/,https://tinyurl.com/frcmed-iraj-transcript
https://frconor-ebook.github.io/meditations/homilies/judas/,https://tinyurl.com/frcmed-jud-transcript
https://frconor-ebook.github.io/meditations/homilies/keeping-my-word/,https://tinyurl.com/frcmed-kmw-transcript
